alabama,al,4833722
alaska,ak,735132
arizona,az,6626624
arkansas,ar,2959373
california,ca,38332521
colorado,co,5268367
connecticut,ct,3596080
delaware,de,925749
florida,fl,19552860
georgia,ga,9992167
hawaii,hi,1404054
idaho,id,1612136
illinois,il,12882135
indiana,in,6570902
iowa,ia,3090416
kansas,ks,2893957
kentucky,ky,4395295
louisiana,la,4625470
maine,me,1328302
maryland,md,5928814
massachusetts,ma,"6,692,824        "
michigan,mi,9895622
minnesota,mn,5420380
mississippi,ms,2991207
missouri,mo,6044171
montana,mt,1015165
nebraska,ne,1868516
nevada,nv,2790136
new hampshire,nh,1323459
new jersey,nj,8899339
new mexico,nm,2085287
new york,ny,19651127
north carolina,nc,9848060
north dakota,nd,723393
ohio,oh,11570808
oklahoma,ok,3850568
oregon,or,3930065
pennsylvania,pa,12773801
rhode island,ri,1051511
south carolina,sc,4774839
south dakota,sd,844877
tennessee,tn,6495978
texas,tx,26448193
utah,ut,2900872
vermont,vt,626630
virginia,va,8260405
washington,wa,6971406
washington dc,dc,646449
west virginia,wv,1854304
wisconsin,wi,5742713
wyoming,wy,582658
